X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
-435.898,-3306.64,4.08,0.004,0.002,0.001,0.004,32.538,0.644116,-0.662881,-0.376085,-0.065292,0.18,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:32.612,FALSE,
-352.491,-3294.119,177.614,0.004,0.004,0.001,0.002,34.1343,0.649394,-0.656708,-0.382355,-0.028751,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:39.992,FALSE,
-395.694,-3290.488,47.005,0.007,0.006,0.001,0.004,29.8373,0.657077,-0.725327,-0.180821,0.097227,0.24,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:47.252,FALSE,
-293.615,-3263.19,-75.081,0.003,0.003,0,0.002,44.3205,0.519044,-0.811825,-0.207664,0.168549,0.38,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:10:54.352,FALSE,
-136.477,-3306.274,-111.425,0.003,0.001,0,0.003,46.0999,0.447882,-0.848542,-0.051323,0.277027,0.27,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:01.792,FALSE,
-335.866,-3441.718,-281.222,0.002,0.001,0.001,0.001,31.0695,0.541686,-0.808722,0.229041,-0.009179,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:10.652,FALSE,
-155.315,-3342.251,-290.916,0.003,0.002,0,0.003,42.5162,-0.30925,0.684632,-0.573921,-0.325974,0.36,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:18.812,FALSE,
-344.151,-3392.426,-255.511,0.001,0.001,0.001,0.001,37.6399,0.371755,-0.738801,0.449322,0.337758,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:26.492,FALSE,
-415.587,-3414.304,-270.961,0.002,0.002,0,0.001,36.2169,0.399715,-0.749265,0.395692,0.349653,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:33.092,FALSE,
-247.332,-3340.175,-277.151,0.002,0.002,0,0.001,32.789,0.359146,-0.610044,0.598941,0.374339,0.25,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:40.432,FALSE,
-215.265,-3304.251,-215.427,0.003,0.002,0,0.002,27.4033,-0.300716,0.434134,-0.715284,-0.457675,0.15,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:46.832,FALSE,
-104.466,-3328.706,-312.494,0.003,0.003,0,0.002,40.7033,-0.245612,0.383945,-0.799765,-0.390687,0.14,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:11:53.672,FALSE,
-74.725,-3336.119,-283.441,0.002,0.001,0,0.002,39.9708,0.243317,-0.307231,0.827827,0.401383,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:00.092,FALSE,
109.638,-3221.18,20.293,0.004,0.003,0,0.003,23.0947,0.310621,-0.122169,0.751965,0.568452,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:08.112,FALSE,
-241.205,-3253.127,83.088,0.007,0.004,0,0.005,4.7961,0.321013,-0.342403,0.644163,0.603957,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:16.172,FALSE,
-34.556,-3174.855,139.602,0.005,0.005,0,0.002,3.6781,0.353745,-0.317544,0.632453,0.611583,0.18,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:23.792,FALSE,
-238.412,-3227.511,79.979,0.006,0.006,0,0.002,9.9008,-0.290962,0.369676,-0.625945,-0.621991,0.24,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:31.272,FALSE,
-413.898,-3268.005,1.791,0.004,0.003,0,0.003,29.411,-0.245621,0.527662,-0.570216,-0.579738,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:38.392,FALSE,
-395.296,-3314.592,186.177,0.006,0.004,0.001,0.004,28.5796,0.603663,-0.309611,0.43796,0.58985,0.28,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:46.352,FALSE,
-333.695,-3336.332,-130.552,0.002,0.001,0,0.001,36.744,-0.250499,-0.07264,0.769116,0.583468,0.27,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:12:54.952,FALSE,
