X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
390.569,-3730.491,119.572,0.004,0.002,0,0.004,32.1967,0.855356,-0.515021,0.038938,-0.040049,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:21.293,FALSE,
387.699,-3728.036,116.895,0.005,0.003,0,0.004,32.1466,0.855369,-0.515002,0.03896,-0.039988,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:26.953,FALSE,
384.833,-3725.581,114.215,0.003,0.001,0.001,0.003,32.0962,0.855382,-0.514983,0.038893,-0.040025,0.18,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:32.613,FALSE,
381.948,-3723.115,111.505,0.003,0.003,0,0.002,32.0366,0.85536,-0.515025,0.038856,-0.039985,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:38.533,FALSE,
379.05,-3720.654,108.82,0.005,0.005,0.001,0.002,31.9798,0.855354,-0.515041,0.038763,-0.039994,0.31,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:43.914,FALSE,
376.194,-3718.199,106.127,0.002,0.001,0,0.002,31.9261,0.855341,-0.515059,0.038715,-0.040078,0.16,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:49.573,FALSE,
373.308,-3715.744,103.438,0.003,0.001,0.001,0.003,31.8737,0.85534,-0.515062,0.038751,-0.040033,0.15,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:32:55.213,FALSE,
370.449,-3713.294,100.741,0.002,0.002,0.001,0.001,31.8211,0.85533,-0.515075,0.038782,-0.040041,0.16,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:00.873,FALSE,
367.597,-3710.839,98.057,0.005,0.002,0,0.004,31.7674,0.855308,-0.515107,0.038811,-0.040092,0.15,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:06.533,FALSE,
364.72,-3708.381,95.345,0.006,0.002,0,0.005,31.7092,0.855281,-0.515152,0.038814,-0.040087,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:12.173,FALSE,
361.859,-3705.922,92.652,0.005,0.005,0.001,0.002,31.6545,0.855268,-0.515172,0.038799,-0.040111,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:17.813,FALSE,
359.03,-3703.471,89.979,0.007,0.006,0.001,0.004,31.6059,0.855274,-0.515159,0.03888,-0.040077,0.22,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:23.453,FALSE,
356.149,-3701.012,87.292,0.004,0.003,0,0.003,31.5548,0.855279,-0.51515,0.038892,-0.040068,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:29.093,FALSE,
353.266,-3698.551,84.635,0.004,0.004,0.001,0.001,31.5051,0.855302,-0.515118,0.038897,-0.039999,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:34.714,FALSE,
350.411,-3696.096,81.961,0.004,0.002,0.001,0.004,31.4524,0.855305,-0.515114,0.038879,-0.039984,0.22,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:40.353,FALSE,
347.519,-3693.642,79.294,0.003,0.003,0.001,0.001,31.3984,0.85531,-0.515111,0.03879,-0.040019,0.22,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:45.973,FALSE,
344.623,-3691.19,76.633,0.005,0.004,0.001,0.003,31.3433,0.855311,-0.515113,0.038676,-0.040065,0.17,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:51.613,FALSE,
341.75,-3688.744,73.951,0.007,0.004,0,0.006,31.2939,0.855332,-0.51508,0.03863,-0.040089,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:33:57.253,FALSE,
338.854,-3686.285,71.292,0.002,0.001,0,0.001,31.2422,0.855341,-0.515067,0.038614,-0.040076,0.15,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:02.933,FALSE,
336.008,-3683.828,68.58,0.003,0.002,0,0.002,31.1886,0.855328,-0.515084,0.038625,-0.040124,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:08.573,FALSE,
333.163,-3681.372,65.88,0.003,0.002,0,0.003,31.1332,0.855304,-0.51512,0.038747,-0.040055,0.18,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:14.233,FALSE,
330.3,-3678.907,63.199,0.002,0.002,0,0.002,31.0794,0.855289,-0.515141,0.038777,-0.040084,0.12,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:19.914,FALSE,
327.419,-3676.44,60.495,0.001,0.001,0,0.001,31.0217,0.855271,-0.515172,0.038748,-0.040096,0.14,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:25.593,FALSE,
324.548,-3673.99,57.807,0.001,0.001,0,0.001,30.9673,0.855263,-0.515184,0.03875,-0.040105,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:31.333,FALSE,
321.701,-3671.531,55.099,0.007,0.007,0.001,0.002,30.9125,0.85525,-0.515203,0.038785,-0.040099,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:36.953,FALSE,
318.829,-3669.079,52.419,0.004,0.003,0,0.001,30.861,0.855259,-0.515189,0.038801,-0.040075,0.15,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:42.673,FALSE,
315.947,-3666.622,49.734,0.003,0.002,0,0.002,30.8062,0.855255,-0.515198,0.038804,-0.040054,0.2,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:48.533,FALSE,
313.08,-3664.157,47.042,0.005,0.004,0,0.003,30.7505,0.855246,-0.515214,0.038806,-0.040037,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:54.013,FALSE,
310.225,-3661.697,44.36,0.005,0.003,0,0.004,30.696,0.855244,-0.515219,0.038804,-0.040013,0.14,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:34:59.733,FALSE,
307.36,-3659.249,41.662,0.003,0.002,0,0.002,30.6429,0.855248,-0.515213,0.038813,-0.039992,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:35:05.413,FALSE,
304.478,-3656.79,38.967,0.005,0.004,0,0.003,30.5857,0.855238,-0.515232,0.038768,-0.040005,0.16,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:35:11.173,FALSE,
301.62,-3654.327,36.27,0.005,0.005,0.001,0.001,30.529,0.855228,-0.51525,0.038692,-0.040067,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:35:16.853,FALSE,
298.745,-3651.866,33.585,0.002,0.002,0,0.001,30.4731,0.85522,-0.515264,0.038657,-0.040089,0.14,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:35:22.553,FALSE,
